Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Number of unoccupied fields
189,81.0,9.0,35.25925925925926,7.884955883026123,143.0
190,89.0,9.0,32.258426966292134,7.883255958557129,133.0
191,98.0,9.0,29.306122448979593,7.88265323638916,133.0
192,110.0,9.0,26.2,7.876389026641846,128.0
193,120.0,7.0,25.291666666666668,7.864328384399414,122.0
194,123.0,6.0,25.089430894308943,7.848762512207031,130.0
195,129.0,5.0,24.790697674418606,7.867425918579102,123.0
196,131.0,5.0,24.259541984732824,7.85675573348999,131.0
197,128.0,6.0,23.2265625,7.877240180969238,123.0
198,131.0,7.0,21.236641221374047,7.900311470031738,116.0
199,135.0,5.0,20.755555555555556,7.896811485290527,113.0
200,130.0,5.0,21.43846153846154,7.89702033996582,116.0
201,127.0,4.0,22.15748031496063,7.887874603271484,121.0
202,129.0,5.0,20.503875968992247,7.893396854400635,127.0
203,127.0,6.0,18.937007874015748,7.893270492553711,119.0
204,122.0,4.0,20.688524590163933,7.879251480102539,132.0
205,120.0,4.0,21.108333333333334,7.874683380126953,128.0
206,116.0,5.0,20.724137931034484,7.871129512786865,130.0
207,100.0,6.0,22.34,7.8861284255981445,132.0
208,101.0,8.0,19.10891089108911,7.897900581359863,136.0
209,95.0,7.0,20.53684210526316,7.895662784576416,134.0
210,96.0,7.0,20.697916666666668,7.890472412109375,141.0
211,89.0,7.0,22.39325842696629,7.897373676300049,139.0
212,85.0,7.0,23.741176470588236,7.884646415710449,139.0
Average,20337.0,1903.0,9539.496410113583,1633.9865145683289,28799.0
